River Sta,Profile,Q Total,Min Ch El,W.S. Elev,Crit W.S.,E.G. Elev,E.G. Slope,Vel Chnl,Flow Area,Top Width,Froude # Chl
,,(cfs),(ft),(ft),(ft),(ft),(ft/ft),(ft/s),(sq ft),(ft), 
2827,5 yr,250,26.5,29.67,27.75,29.73,0.000905,2.08,120.4,46.37,0.23
,25 yr,600,26.5,31.78,28.68,31.89,0.000807,2.6,230.43,57.52,0.23
,50 yr,1000,26.5,33.72,29.48,33.85,0.000595,2.84,401.97,140.6,0.21
,,,,,,,,,,,
2227,5 yr,250,25.8,29.17,27.1,29.23,0.000763,1.96,127.52,47.05,0.21
,25 yr,600,25.8,31.34,28.02,31.43,0.000703,2.48,241.68,58.35,0.22
,50 yr,1000,25.8,33.41,28.83,33.52,0.000488,2.66,447.23,157.45,0.19
,,,,,,,,,,,
1627,5 yr,250,25.4,28.72,26.65,28.78,0.000767,1.96,127.4,47.16,0.21
,25 yr,600,25.4,30.93,27.57,31.02,0.000683,2.45,244.5,58.8,0.21
,50 yr,1000,25.4,33.14,28.38,33.24,0.000431,2.56,482.93,169.35,0.18
,,,,,,,,,,,
1327,5 yr,250,25.1,28.46,26.43,28.53,0.000895,2.13,117.55,43.06,0.23
,25 yr,600,25.1,30.69,27.4,30.8,0.0008,2.66,225.52,53.74,0.23
,50 yr,1000,25.1,33,28.27,33.11,0.000474,2.71,480.66,177.04,0.19
,,,,,,,,,,,
1257,5 yr,250,25.1,28.39,26.43,28.46,0.000964,2.18,114.58,42.73,0.23
,25 yr,600,25.1,30.62,27.41,30.74,0.000755,2.74,218.95,53.44,0.23
,50 yr,1000,25.1,32.92,28.27,33.07,0.000538,3.04,329.35,173.5,0.2
,,,,,,,,,,,
,,Culvert,,,,,,,,,
,,,,,,,,,,,
1200,5 yr,250,25,28.23,26.33,28.31,0.001013,2.24,111.61,42.2,0.24
,25 yr,600,25,30.18,27.32,30.33,0.000949,3.1,193.37,51.36,0.25
,50 yr,1000,25,31.68,28.16,31.92,0.001028,3.9,256.49,99.81,0.28
,,,,,,,,,,,
1100,5 yr,250,24.9,28.13,26.23,28.2,0.001042,2.25,111.15,41.93,0.24
,25 yr,600,24.9,30.08,27.21,30.22,0.001077,2.97,202.05,50.98,0.26
,50 yr,1000,24.9,31.6,28.06,31.79,0.001066,3.52,296.56,94.74,0.27
,,,,,,,,,,,
1000,5 yr,250,24.8,28.02,26.13,28.1,0.001054,2.26,110.52,41.66,0.24
,25 yr,600,24.8,29.97,27.11,30.11,0.001094,2.99,200.47,50.54,0.26
,50 yr,1000,24.8,31.48,27.97,31.68,0.001098,3.55,290.39,87.83,0.28
,,,,,,,,,,,
500,5 yr,250,24.25,27.54,25.6,27.61,0.000893,2.08,119.99,45.43,0.23
,25 yr,600,24.25,29.48,26.53,29.6,0.000927,2.76,217.36,54.99,0.24
,50 yr,1000,24.25,31,27.34,31.16,0.000938,3.27,311.59,88.48,0.26
,,,,,,,,,,,
0,5 yr,250,23.95,27.07,25.22,27.14,0.001001,2.16,115.6,45.11,0.24
,25 yr,600,23.95,28.99,26.15,29.12,0.001001,2.83,211.93,54.74,0.25
,50 yr,1000,23.95,30.51,26.97,30.68,0.001,3.33,304.58,85.53,0.26
